Year,CivilianLaborForce_Total_Ba470_Thousand ,CivilianLaborForce_Employed_Total_Ba471_Thousand ,CivilianLaborForce_Employed_Farm_Ba472_Thousand ,CivilianLaborForce_Employed_Government_Ba473_Thousand ,CivilianLaborForce_Unemployed_Number_Ba474_Thousand ,Unemployed_AsPercentageOf_CivilianLaborForce_Ba475_Percent ,AsPercentageOf_CivilianPrivateNonfarmLaborForce_Ba476_Percent ,"Federal""emergency""workers_Ba477_Number "
1890,22772,21868,10291,812,904,3.97,7.75,
1891,23382,22332,10367,840,1050,4.49,8.62,
1892,24038,23003,10443,868,1035,4.31,8.13,
1893,24649,22981,10519,897,1668,6.77,12.6,
1894,25168,22834,10595,925,2334,9.28,17.1,
1895,25679,23501,10671,953,2178,8.48,15.5,
1896,26220,23788,10746,981,2432,9.27,16.78,
1897,26712,24439,10822,1009,2273,8.51,15.27,
1898,27209,25090,10898,1038,2119,7.79,13.87,
1899,27753,26130,10974,1066,1623,5.85,10.33,
1900,28376,26956,11050,1094,1420,5,8.75,
1901,29153,27947,10916,1129,1206,4.14,7.05,
1902,29904,28874,10753,1191,1030,3.45,5.73,
1903,30698,29616,10869,1229,1082,3.53,5.82,
1904,31441,29894,11076,1277,1547,4.92,8.1,
1905,32299,31042,11187,1335,1257,3.89,6.36,
1906,33212,32398,11479,1386,814,2.45,4,
1907,34183,33135,11493,1448,1048,3.07,4.93,
1908,34916,32310,11238,1507,2606,7.46,11.75,
1909,35721,33704,11163,1564,2017,5.65,8.77,
1910,36709,34559,11260,1630,2150,5.86,9.03,
1911,37478,34845,11107,1672,2633,7.02,10.66,
1912,37932,35708,11136,1717,2224,5.86,8.87,
1913,38675,36454,10974,1757,2221,5.74,8.56,
1914,39401,36055,10945,1809,3346,8.49,12.56,
1915,39600,36020,10953,1861,3580,9.04,13.37,
1916,40057,37461,10802,1916,2596,6.48,9.5,
1917,40023,37951,10788,2000,2072,5.18,7.61,
1918,39076,38590,10674,2461,486,1.24,1.87,
