Year,BLS-based_Cc1_Index1982–1984100 ,David-Solar-based_Cc2_Index1860100 
1774,8.07,97
1775,7.654,92
1776,8.735,105
1777,10.649,128
1778,13.81,166
1779,12.23,147
1780,13.727,165
1781,11.065,133
1782,12.146,146
1783,10.649,128
1784,10.233,123
1785,9.734,117
1786,9.484,114
1787,9.318,112
1788,8.902,107
1789,8.819,106
1790,9.151,110
1791,9.401,113
1792,9.567,115
1793,9.9,119
1794,10.982,132
1795,12.562,151
1796,13.228,159
1797,12.729,153
1798,12.313,148
1799,12.313,148
1800,12.562,151
1801,12.729,153
1802,10.732,129
1803,11.314,136
1804,11.814,142
1805,11.73,141
1806,12.23,147
1807,11.564,139
1808,12.562,151
1809,12.313,148
1810,12.313,148
1811,13.145,158
1812,13.311,160
1813,15.973,192
1814,17.554,211
1815,15.391,185
1816,14.06,169
1817,13.311,160
1818,12.729,153
1819,12.729,153
1820,11.73,141
1821,11.314,136
1822,11.73,141
1823,10.483,126
1824,9.651,116
1825,9.9,119
1826,9.9,119
1827,9.983,120
1828,9.484,114
1829,9.318,112
1830,9.235,111
1831,8.652,104
1832,8.569,103
1833,8.403,101
1834,8.569,103
1835,8.819,106
1836,9.318,112
1837,9.567,115
1838,9.318,112
1839,9.318,112
1840,8.652,104
1841,8.735,105
1842,8.153,98
1843,7.404,89
1844,7.488,90
1845,7.571,91
1846,7.654,92
1847,8.236,99
1848,7.903,95
1849,7.654,92
1850,7.82,94
1851,7.654,92
1852,7.737,93
1853,7.737,93
1854,8.403,101
1855,8.652,104
1856,8.486,102
1857,8.735,105
1858,8.236,99
1859,8.319,100
1860,8.319,100
1861,8.819,106
1862,10.067,121
1863,12.562,151
1864,15.724,189
1865,16.306,196
1866,15.89,191
1867,14.809,178
1868,14.226,171
1869,13.644,164
1870,13.062,157
1871,12.23,147
1872,12.23,147
1873,11.98,144
1874,11.398,137
1875,10.982,132
1876,10.732,129
1877,10.483,126
1878,9.983,120
1879,9.983,120
1880,10.233,123
1881,10.233,123
1882,10.233,123
1883,10.067,121
1884,9.817,118
1885,9.651,116
1886,9.401,113
1887,9.484,114
1888,9.484,114
1889,9.235,111
1890,9.068,109
1891,9.068,109
1892,9.068,109
1893,8.985,108
1894,8.569,103
1895,8.403,101
1896,8.403,101
1897,8.319,100
1898,8.319,100
1899,8.319,100
1900,8.403,101
1901,8.486,102
1902,8.569,103
1903,8.819,106
1904,8.902,107
1905,8.819,106
1906,8.985,108
1907,9.401,113
1908,9.235,111
1909,9.068,109
1910,9.484,114
1911,9.484,114
1912,9.734,117
1913,9.9,119
1914,10,120
1915,10.1,121
1916,10.9,130
1917,12.8,153
1918,15.1,180
1919,17.3,207
1920,20,240
1921,17.9,214
1922,16.8,200
1923,17.1,204
1924,17.1,204
1925,17.5,210
1926,17.7,211
1927,17.4,208
1928,17.1,205
1929,17.1,205
1930,16.7,200
1931,15.2,182
1932,13.7,163
1933,13,155
1934,13.4,160
1935,13.7,164
1936,13.9,166
1937,14.4,172
1938,14.1,169
1939,13.9,166
1940,14,168
1941,14.7,176
1942,16.3,195
1943,17.3,207
1944,17.6,210
1945,18,215
1946,19.5,233
1947,22.3,267
1948,24.1,288
1949,23.8,285
1950,24.1,288
1951,26,310
1952,26.5,317
1953,26.7,320
1954,26.9,321
1955,26.8,320
1956,27.2,325
1957,28.1,336
1958,28.9,346
1959,29.1,348
1960,29.6,354
1961,29.9,358
1962,30.2,362
1963,30.6,366
1964,31,371
1965,31.5,377
1966,32.4,388
1967,33.4,399
1968,34.8,416
1969,36.7,438
1970,38.8,464
1971,40.5,484
1972,41.8,500
1973,44.4,531
1974,49.3,589
1975,53.8,643
1976,56.9,680
1977,60.6,724
1978,65.2,779
1979,72.6,867
1980,82.4,984
1981,90.9,1086
1982,96.5,1153
1983,99.6,1190
1984,103.9,1241
1985,107.6,1286
1986,109.6,1309
1987,113.6,1357
1988,118.3,1413
1989,124,1481
1990,130.7,1562
1991,136.2,1627
1992,140.3,1676
1993,144.5,1726
1994,148.2,1771
1995,152.4,1821
1996,156.9,1875
1997,160.5,1918
1998,163,1947
1999,166.6,1990
2000,172.2,2057
2001,177.1,2116
2002,179.9,2149
2003,184,2198
